timestamp,appid,wage_per_hour
6/1/2025,04b07795-8ddb-461a-bbee-02f9e1bf7b46,5.00
6/2/2025,04b07795-8ddb-461a-bbee-02f9e1bf7b47,5.00
6/3/2025,04b07795-8ddb-461a-bbee-02f9e1bf7b48,5.00
6/4/2025,04b07795-8ddb-461a-bbee-02f9e1bf7b49,5.00
6/5/2025,04b07795-8ddb-461a-bbee-02f9e1bf7b50,5.00
6/6/2025,04b07795-8ddb-461a-bbee-02f9e1bf7b51,5.00
6/7/2025,04b07795-8ddb-461a-bbee-02f9e1bf7b52,5.00
6/8/2025,04b07795-8ddb-461a-bbee-02f9e1bf7b53,5.00
6/9/2025,04b07795-8ddb-461a-bbee-02f9e1bf7b54,5.00
6/10/2025,04b07795-8ddb-461a-bbee-02f9e1bf7b55,5.00
6/1/2025,b6896405-a2a0-41e6-91aa-c3fd70839ded,20.00
6/2/2025,b6896405-a2a0-41e6-91aa-c3fd70839ded,20.00
6/3/2025,b6896405-a2a0-41e6-91aa-c3fd70839ded,20.00
6/4/2025,b6896405-a2a0-41e6-91aa-c3fd70839ded,20.00
6/5/2025,b6896405-a2a0-41e6-91aa-c3fd70839ded,20.00
6/6/2025,b6896405-a2a0-41e6-91aa-c3fd70839ded,20.00
6/7/2025,b6896405-a2a0-41e6-91aa-c3fd70839ded,20.00
6/8/2025,b6896405-a2a0-41e6-91aa-c3fd70839ded,20.00
6/9/2025,b6896405-a2a0-41e6-91aa-c3fd70839ded,20.00
6/10/2025,b6896405-a2a0-41e6-91aa-c3fd70839ded,20.00